,dimension_name_clean,Corr_with_log_requirements_word_count,Corr_with_log_text_word_count,Delta (log_requirements_word_count minus log_text_word_count)
0,"Macro-Formative
Task Demand",0.44606667685916856,0.16973520382698615,0.2763314730321824
1,"Macro-Formative
Pitch Quality",0.4448460648407078,0.37694063978709297,0.06790542505361485
2,"Formative
Workload Volume",0.3639676636176425,0.13033119865411755,0.23363646496352494
3,"Formative
Proposition Clarity",0.3602998166392449,0.21620829934409658,0.1440915172951483
4,"Formative
Call To Action Strength",0.3356571122724606,0.3099909798469719,0.025666132425488708
5,"Formative
Creator Brand Alignment",0.3222058606723214,0.16156736935562235,0.16063849131669902
6,"Macro-Formative
Reward Value",0.28870243965276027,0.21013521359289644,0.07856722605986383
7,"Holistic
Deal Attractiveness",0.2846844452320243,0.20400528002384277,0.08067916520818152
8,"Formative
Perceived Economic Value",0.24975806237896714,0.2273609627761438,0.02239709960282335
9,"Formative
Brand Prestige",0.1980211506312519,0.1256122581438834,0.07240889248736848
10,"Formative
Creative Restrictiveness",0.1742554620442525,-0.06375522940096354,0.23801069144521603
11,"Formative
Functional Utility",0.16467616644446173,0.21650559173576253,-0.0518294252913008
12,"Formative
Product Universality",0.1019420109243409,0.040528249658604534,0.06141376126573636
13,"Formative
Rhetorical Objectivity",-0.026702846581839294,-0.15266839909536406,0.12596555251352476
