,label,nobs,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
0,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",18126.0,0.3260138860345312,0.3258651114384349,52281.05305559302,52320.0785688461,28.599799615680208,7.492357236916305
1,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",18126.0,0.2973090255368739,0.2972702542405561,53031.04693016378,53046.65713546501,12.034050017690356,1.0
2,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",18126.0,0.2906771251569592,0.29063798794250084,53201.3153879199,53216.92559322113,12.089132989015543,1.0
3,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",18126.0,0.32868085703580685,0.3285326711425417,52209.185976433124,52248.2114896862,43.28788234964219,7.7539288565072715
4,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",18126.0,0.2973889844751687,0.29735021759062197,53028.984262171536,53044.594467472765,12.259709201071468,1.0
5,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",18126.0,0.30344826047073536,0.30340982790951654,52871.98876910137,52887.5989744026,11.731045434627227,1.0
6,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",18126.0,0.2070797305428822,0.20690470261518346,55226.766691196266,55265.79220444934,25.145615041763516,6.17960989353226
7,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",18126.0,0.1800088659328999,0.17996362254655762,55829.27199869812,55844.88220399935,10.65150871870158,1.0
8,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",18126.0,0.16791145386251338,0.16786554299592005,56094.73329954212,56110.343504843346,11.81057481013622,1.0
9,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",18126.0,0.18101441544741537,0.18083363390455287,55813.0305689329,55852.056082185976,40.86535470783826,9.336790249805327
10,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",18126.0,0.15743493555185872,0.15738844663856977,56321.52628774484,56337.13649304607,11.44758002745726,1.0
11,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",18126.0,0.15661974058489225,0.1565732066928477,56339.05499987284,56354.66520517407,13.277924709769703,1.0
