analysis_group_full,,human_disagreement,multimodal_severity_score
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_communicative_clarity,human_disagreement,1.0,-0.004785996148268965
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_communicative_clarity,multimodal_severity_score,-0.004785996148268965,1.0
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_information_coverage,human_disagreement,1.0,0.001315462339590866
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_information_coverage,multimodal_severity_score,0.001315462339590866,1.0
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_topical_alignment,human_disagreement,1.0,-0.023617021137521853
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_topical_alignment,multimodal_severity_score,-0.023617021137521853,1.0
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_topical_concentration,human_disagreement,1.0,-0.009177364687990063
Qwen/Qwen3-4B-Instruct-2507_83fb9645af53_qa_pair_topical_concentration,multimodal_severity_score,-0.009177364687990063,1.0
Qwen/Qwen3-4B-Instruct-2507_f1ea5fbc4957_qa_pair_overall_answer_quality,human_disagreement,1.0,0.0016979339838070558
Qwen/Qwen3-4B-Instruct-2507_f1ea5fbc4957_qa_pair_overall_answer_quality,multimodal_severity_score,0.0016979339838070558,1.0
Qwen/Qwen3-4B-Instruct-2507_f926cb88b5c8_qa_pair_overall_answer_quality,human_disagreement,1.0,-0.009224587397687405
Qwen/Qwen3-4B-Instruct-2507_f926cb88b5c8_qa_pair_overall_answer_quality,multimodal_severity_score,-0.009224587397687405,1.0
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_communicative_clarity,human_disagreement,1.0,-0.022896153058931355
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_communicative_clarity,multimodal_severity_score,-0.022896153058931355,1.0
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_information_coverage,human_disagreement,1.0,0.09867010327612398
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_information_coverage,multimodal_severity_score,0.09867010327612398,1.0
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_topical_alignment,human_disagreement,1.0,0.0995756459897952
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_topical_alignment,multimodal_severity_score,0.0995756459897952,1.0
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_topical_concentration,human_disagreement,1.0,0.07972197147838121
Qwen/Qwen3.5-4B_83fb9645af53_qa_pair_topical_concentration,multimodal_severity_score,0.07972197147838121,1.0
Qwen/Qwen3.5-4B_f1ea5fbc4957_qa_pair_overall_answer_quality,human_disagreement,1.0,0.04617760956021855
Qwen/Qwen3.5-4B_f1ea5fbc4957_qa_pair_overall_answer_quality,multimodal_severity_score,0.04617760956021855,1.0
Qwen/Qwen3.5-4B_f926cb88b5c8_qa_pair_overall_answer_quality,human_disagreement,1.0,0.0447591568446901
Qwen/Qwen3.5-4B_f926cb88b5c8_qa_pair_overall_answer_quality,multimodal_severity_score,0.0447591568446901,1.0
google/gemma-4-E2B-it_83fb9645af53_qa_pair_communicative_clarity,human_disagreement,1.0,-0.023034686852472886
google/gemma-4-E2B-it_83fb9645af53_qa_pair_communicative_clarity,multimodal_severity_score,-0.023034686852472886,1.0
google/gemma-4-E2B-it_83fb9645af53_qa_pair_information_coverage,human_disagreement,1.0,-0.01855453489086217
google/gemma-4-E2B-it_83fb9645af53_qa_pair_information_coverage,multimodal_severity_score,-0.01855453489086217,1.0
google/gemma-4-E2B-it_83fb9645af53_qa_pair_topical_alignment,human_disagreement,1.0,0.008460043458417376
google/gemma-4-E2B-it_83fb9645af53_qa_pair_topical_alignment,multimodal_severity_score,0.008460043458417376,1.0
google/gemma-4-E2B-it_83fb9645af53_qa_pair_topical_concentration,human_disagreement,1.0,0.007842868897514283
google/gemma-4-E2B-it_83fb9645af53_qa_pair_topical_concentration,multimodal_severity_score,0.007842868897514283,1.0
google/gemma-4-E2B-it_f1ea5fbc4957_qa_pair_overall_answer_quality,human_disagreement,1.0,-0.011676417874047435
google/gemma-4-E2B-it_f1ea5fbc4957_qa_pair_overall_answer_quality,multimodal_severity_score,-0.011676417874047435,1.0
google/gemma-4-E2B-it_f926cb88b5c8_qa_pair_overall_answer_quality,human_disagreement,1.0,-0.024424911295810245
