Analysis_Group_General,Failure_Rate,Std_Dev,Total_Evaluations
Qwen 3 | Holistic Naive (1D),0.8013065646908859,0.39904852697335813,6276
Qwen 3 | Holistic Informed New (3D),0.33545782876566815,0.4721753452386394,9414
Qwen 3 | Formative New (10D),0.32294455066921607,0.4676091700788317,31380
Qwen 3 | Holistic Informed (3D),0.2175483322710856,0.41260045929545025,9414
Qwen 3 | Formative (10D),0.19509241555130657,0.396278146371208,31380
google/gemma-4-E2B-it | Formative (10D),0.1661249203314213,0.3721986644661778,31380
google/gemma-4-E2B-it | Formative New (10D),0.0997131931166348,0.2996219836404876,31380
Qwen 3.5 | Formative New (10D),0.03355640535372849,0.18008721919972598,31380
Qwen 3.5 | Holistic Informed New (3D),0.029530486509454005,0.1692970213420441,9414
google/gemma-4-E2B-it | Holistic Naive (1D),0.023581899298916506,0.15175461368112536,6276
google/gemma-4-E2B-it | Holistic Informed (3D),0.023475674527299765,0.15141665248052533,9414
google/gemma-4-E2B-it | Holistic Informed New (3D),0.01954535797748035,0.13843905805935253,9414
Qwen 3.5 | Formative (10D),0.019407265774378585,0.13795372516162202,31380
Qwen 3.5 | Holistic Naive (1D),0.012268961121733589,0.11009252898913423,6276
Qwen 3.5 | Holistic Informed (3D),0.0036116422349691947,0.059991504200391114,9414
