,dimension_name_clean,Correlation_with_Req_Length
2,"Formative
Creative Restrictiveness",0.4578687726287288
7,"Formative
Proposition Clarity",0.4545314030903944
9,"Formative
Workload Volume",0.4498736927058425
3,"Formative
Creator Brand Alignment",0.37773681369024115
1,"Formative
Call To Action Strength",0.3013974617470044
0,"Formative
Brand Prestige",0.2354926050041775
5,"Formative
Perceived Economic Value",0.18925938466619416
4,"Formative
Functional Utility",0.16119480490948906
6,"Formative
Product Universality",0.08133256457015937
8,"Formative
Rhetorical Objectivity",-0.07172274529229457
