,group,predictor,vif,flagged
0,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_information_coverage,9.584,True
1,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_alignment,9.53,True
2,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_topical_concentration,9.371,True
3,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",mean_rating_qa_pair_communicative_clarity,5.055,True
4,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",log_raw_input_word_count,1.33,False
5,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_alignment,1.188,False
6,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_topical_concentration,1.161,False
7,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_information_coverage,1.118,False
8,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",normalized_entropy_qa_pair_communicative_clarity,1.064,False
9,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",mean_rating,1.102,False
10,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",log_raw_input_word_count,1.088,False
11,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",normalized_entropy,1.013,False
