,label,nobs,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
0,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.005086164984338892,0.0046468124407241795,23796.934087056172,23832.493864406446,8.002812022496446,1.5339080632095567
1,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.006657088724274063,0.00654746032660547,23776.612712470942,23790.83662341105,6.601553811156777,1.0
2,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.006377953486613408,0.006268294282716136,23779.159111354977,23793.383022295086,6.43342693598703,1.0
3,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.04039794836060684,0.03997418945063147,23469.420228564533,23504.980005914807,30.627706423722522,4.512211013682374
4,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.03225959072790918,0.03215278790159071,23539.959167645866,23554.183078585975,10.633926165885597,1.0
5,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.036963420322341234,0.03685713662521317,23495.799855410318,23510.023766350427,9.490984576654045,1.0
6,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.003131975348762972,0.002691759837766705,23814.717988705976,23850.27776605625,8.359326448518415,2.2404507242214273
7,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.0005732872508820153,0.0004629874260559941,23831.95043278869,23846.1743437288,6.008749902274937,1.0
8,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.00023821997770478998,0.00012788317381762226,23834.988380172064,23849.212291112173,6.2263967182764,1.0
9,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.010082324002830934,0.009645177755978729,23751.30776102528,23786.867538375554,26.36419495675517,5.480303524526927
10,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.00350820210841285,0.003398226189872844,23805.296887182172,23819.52079812228,6.091773885951881,1.0
11,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.002118595287427749,0.0020084660075787575,23817.926427771854,23832.150338711963,6.262566281577832,1.0
