,dimension_name_clean,Correlation_with_Req_Length
1,"Formative
Call To Action Strength",0.5248551521909293
7,"Formative
Proposition Clarity",0.517088149147508
9,"Formative
Workload Volume",0.49320807892282026
3,"Formative
Creator Brand Alignment",0.42873754725644064
5,"Formative
Perceived Economic Value",0.42853171662611206
0,"Formative
Brand Prestige",0.42086826542550176
4,"Formative
Functional Utility",0.3884599003420441
8,"Formative
Rhetorical Objectivity",0.27582490938215565
6,"Formative
Product Universality",0.15028941600358892
2,"Formative
Creative Restrictiveness",-0.335833193357817
