,label,nobs,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
0,"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.0006555843293579722,0.00021427524758699246,23837.204115802186,23872.76389315246,89051070.16311997,1.1358635621762483
1,"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,2.882979809104569e-06,-0.00010747979659742057,23837.121496544132,23851.34540748424,213284.6443946187,1.0
2,"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,8.509301266779179e-05,-2.526069078512272e-05,23836.37639424049,23850.6003051806,677.0003549930286,1.0
3,"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.015414083121884081,0.014979291372324455,23702.36193938274,23737.921716733013,34.84103576563985,2.024678600970679
4,"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.002132371624696039,0.002022243865246187,23817.801306884816,23832.025217824925,10.536497113347236,1.0
5,"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.0020033821214487935,0.0018932401263181964,23818.972761177625,23833.196672117734,9.44604922616748,1.0
6,"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.0009976066037381548,0.0005564485585202172,23834.10180354192,23869.661580892192,138.2697530390826,1.0657685046415808
7,"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,0.00013633873436713628,2.599068655062542e-05,23835.91190283794,23850.135813778048,62.44079348487988,1.0
8,"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,0.0005965762918148654,0.0004862790372394121,23831.739240677794,23845.963151617903,84.68618668093552,1.0
9,"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",9063.0,0.002418887682396176,0.0019783572728940824,23821.198689242134,23856.758466592408,15.902230389218667,2.5900975039662075
10,"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",9063.0,4.8617632111835896e-05,-6.174009687698323e-05,23836.70699271669,23850.930903656797,9.679716432249789,1.0
11,"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",9063.0,6.188947813345891e-06,-0.00010417346373636782,23837.091534420226,23851.315445360335,12.834828238172712,1.0
