label,r_squared,adj_r_squared,aic,bic,raw_condition_number,standardized_condition_number
"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",0.004389308666441494,0.004540087163078854,-125.66215780175116,-156.88256840420945,-19.636705412597326,1.5302196229326128
"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",0.011845385428572497,0.011885468224832163,-305.006371729236,-312.81147437985055,-9.95017310887342,-0.11637465747635534
"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",0.013098714877646245,0.013139301946112347,-333.6708202014779,-341.4759228520925,-8.995430264392265,-0.04889673601306388
"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",0.04304058301394065,0.04320783995380595,-1134.3860110168825,-1165.6064216193408,-61.48220297501683,2.5112751652394456
"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",0.06071906050273357,0.0607645324391356,-1504.411986401552,-1512.2170890521666,-13.9115445638253,-0.3292358956751331
"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",0.061899190601752196,0.06194445841355445,-1545.1756416313583,-1552.9807442819729,-11.31983992300955,-0.3212773058723284
"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",0.0009401526502282875,0.001115673012912044,-29.478971886550426,-60.69938248900871,-18.446295768192808,0.9878751736925473
"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",0.004484639569606874,0.004530382860264637,-100.86337995179201,-108.66848260240658,-6.606364464586447,-0.10466698465917212
"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",0.003528950994286184,0.003575256371927349,-78.71119434197317,-86.51629699258774,-6.699999087830626,-0.1565405434549223
"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",0.013199551966275758,0.013386241919364661,-297.8067081857298,-329.0271187881881,-52.59453293906356,3.0164401035594413
"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",0.02479750603298736,0.02484673665514847,-527.7662361978437,-535.5713388484583,-7.732915824451048,-0.19165698077017046
"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",0.01910878432720775,0.01915743214279897,-408.10416342667304,-415.9092660772876,-8.98277441106272,-0.3343460714612909
