,RMSE_EV,RMSE_EV+Entr,RMSE_Delta,Pearson_r_EV,Pearson_r_EV+Entr,Pearson_r_Delta,Spearman_rho_EV,Spearman_rho_EV+Entr,Spearman_rho_Delta
"Qwen/Qwen3-4B-Instruct-2507_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",1.0182841610163254,1.0181279598872093,-0.00015620112911607364,0.5766145999898349,0.5767929878885695,0.00017838789873458882,0.5777981459485788,0.5773153856385594,-0.00048276031001937003
"Qwen/Qwen3-4B-Instruct-2507_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",1.0386072209523485,1.0386038099363226,-3.4110160258560285e-06,0.552786970898585,0.5527911087537472,4.137855162178461e-06,0.5499840446514299,0.5500759529775731,9.190832614314193e-05
"Qwen/Qwen3-4B-Instruct-2507_Holistic naive v2, scale 4, system prompt V1, user prompt V2",1.0440290180358685,1.0440054161883627,-2.3601847505716478e-05,0.5461724135924225,0.5462015044424615,2.9090850038993032e-05,0.5436670816008641,0.5438749918130734,0.00020791021220933903
"Qwen/Qwen3.5-4B_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",1.0190371984727689,1.0148445700262496,-0.004192628446519242,0.5757575169100309,0.5805064198972548,0.0047489029872239685,0.5761328986107895,0.5784903234316917,0.0023574248209021764
"Qwen/Qwen3.5-4B_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",1.034399118228874,1.0310401965390112,-0.0033589216898628482,0.5578435062823155,0.5618324969456089,0.00398899066329339,0.557509721888692,0.5586788076234607,0.0011690857347687045
"Qwen/Qwen3.5-4B_Holistic naive v2, scale 4, system prompt V1, user prompt V2",1.033107601783363,1.0305698937850334,-0.0025377079983295303,0.5593821091029588,0.5623876873137952,0.003005578210836357,0.5588323267210922,0.5592576475861606,0.0004253208650684126
"google/gemma-4-E2B-it_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",1.0941430598695332,1.0878867380928334,-0.006256321776699769,0.47887848387311205,0.4879702844217169,0.009091800548604867,0.479860275692305,0.4868261676396796,0.006965891947374625
"google/gemma-4-E2B-it_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",1.1106878388661166,1.1046252443382336,-0.006062594527882936,0.45369676844553186,0.46312771816265996,0.009430949717128101,0.4501652823404142,0.4599524207690354,0.009787138428621223
"google/gemma-4-E2B-it_Holistic naive v2, scale 4, system prompt V1, user prompt V2",1.1192212422775167,1.1131061495917514,-0.006115092685765378,0.43998954169601995,0.4498652516049219,0.009875709908901964,0.4361834514510884,0.44723793048785854,0.011054479036770148
"meta-llama/Llama-3.2-3B-Instruct_Formative v3, scale 4, system prompt V1, user prompt V1, rubric V2",1.1284858098540136,1.1243773391434009,-0.0041084707106127105,0.4244841684226415,0.43144922048105677,0.0069650520584153,0.42349264923430696,0.4285765993360196,0.005083950101712642
"meta-llama/Llama-3.2-3B-Instruct_Holistic informed v2, scale 4, system prompt V1, user prompt V2, rubric v2",1.1438359051397198,1.1438537949980754,1.7889858355601973e-05,0.3971534260767366,0.3971206452156504,-3.2780861086212365e-05,0.39577317832984715,0.3957063336955348,-6.684463431233523e-05
"meta-llama/Llama-3.2-3B-Instruct_Holistic naive v2, scale 4, system prompt V1, user prompt V2",1.1443275061532792,1.1438000088573546,-0.000527497295924606,0.3962408492309566,0.3972204521181698,0.0009796028872132156,0.3952312287101044,0.39540474751329874,0.000173518803194328
Human-Human Baseline,1.1955054642065006,,,0.5421622110133812,,,0.5409943674154105,,
